,level_0,index,id,time,SAT_M,SAT_V,choice,outcome,tuition,quality,hs_GPA,univ_type,type,A_N,A_S,augmented,choicecat,unskilled,hp,skilled1,skilled2,skilled3,tmajor,terminalGPA,state,skilledsector,tdropout,cumulativeGPA,tGPA,univ_type_num,numeric_state,dSTEM,col_type,numeric_choice,ed_emax_mapping,skilled_emax_mapping_abridged,unskilled_emax_mapping,lastchoiceraw,lastchoice,prior_skilled
0,0,0,0,1,540,510,nonSTEM,196.423244740223,-2.36182756859202,1,310,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,245.35581118505576,t1,,-1,196.423244740223,240,2,6,0,1,1,122,-1,0,,-1,-1
1,1,1,0,2,540,510,STEM,240.0,-2.36182756859202,1,310,priv_rel,grade,0,0,0,STEM,0,0,0,0,0,nonSTEM,245.35581118505576,t1nonSTEM,,-1,218.2116223701115,240,2,1,0,1,0,122,-1,0,1.0,1,-1
2,2,2,0,3,540,510,nonSTEM,270.0,-2.36182756859202,1,310,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,245.35581118505576,STEMReqMet,,-1,235.47441491340768,240,2,2,0,1,1,122,-1,0,0.0,0,-1
3,3,3,0,4,540,510,nonSTEM,275.0,-2.36182756859202,1,310,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,245.35581118505576,t3nonSTEM,,-1,245.35581118505576,240,2,5,0,1,1,122,-1,0,1.0,1,-1
4,4,4,0,5,540,510,skilled3,2.8187958538975844,-2.36182756859202,1,310,priv_rel,lwage,0,0,0,skilled3,0,0,0,0,0,nonSTEM,245.35581118505576,skilled,2,-1,245.35581118505576,240,2,7,0,2,6,122,5,0,1.0,1,-1
5,5,5,0,6,540,510,skilled3,3.353640499747964,-2.36182756859202,1,310,priv_rel,lwage,0,0,0,skilled3,0,0,0,0,1,nonSTEM,245.35581118505576,skilled,2,-1,245.35581118505576,240,2,7,0,2,6,122,5,0,6.0,6,2
6,6,6,0,7,540,510,skilled3,2.8608250135132645,-2.36182756859202,1,310,priv_rel,lwage,0,0,0,skilled3,0,0,0,0,2,nonSTEM,245.35581118505576,skilled,2,-1,245.35581118505576,240,2,7,0,2,6,122,5,0,6.0,6,2
7,7,7,0,8,540,510,skilled3,3.9108710783804668,-2.36182756859202,1,310,priv_rel,lwage,0,0,0,skilled3,0,0,0,0,3,nonSTEM,245.35581118505576,skilled,2,-1,245.35581118505576,240,2,7,0,2,6,122,5,0,6.0,6,2
8,8,8,0,9,540,510,skilled3,2.9187275305127667,-2.36182756859202,1,310,priv_rel,lwage,0,0,0,skilled3,0,0,0,0,4,nonSTEM,245.35581118505576,skilled,2,-1,245.35581118505576,240,2,7,0,2,6,122,5,0,6.0,6,2
9,9,9,0,10,540,510,skilled3,3.7191134393612653,-2.36182756859202,1,310,priv_rel,lwage,0,0,0,skilled3,0,0,0,0,5,nonSTEM,245.35581118505576,skilled,2,-1,245.35581118505576,240,2,7,0,2,6,122,5,0,6.0,6,2
10,10,10,0,11,540,510,skilled3,3.691888539485846,-2.36182756859202,1,310,priv_rel,lwage,0,0,0,skilled3,0,0,0,0,6,nonSTEM,245.35581118505576,skilled,2,-1,245.35581118505576,240,2,7,0,2,6,122,5,0,6.0,6,2
11,11,11,0,12,540,510,skilled3,4.071242862492993,-2.36182756859202,1,310,priv_rel,lwage,0,0,0,skilled3,0,0,0,0,7,nonSTEM,245.35581118505576,skilled,2,-1,245.35581118505576,240,2,7,0,2,6,122,5,0,6.0,6,2
12,12,12,0,13,540,510,skilled3,3.131938753202587,-2.36182756859202,1,310,priv_rel,lwage,0,0,0,skilled3,0,0,0,0,8,nonSTEM,245.35581118505576,skilled,2,-1,245.35581118505576,240,2,7,0,2,6,122,5,0,6.0,6,2
13,13,13,0,14,540,510,skilled1,3.634490710668481,-2.36182756859202,1,310,priv_rel,lwage,0,0,0,skilled1,0,0,0,0,9,nonSTEM,245.35581118505576,skilled,0,-1,245.35581118505576,240,2,7,0,2,4,122,5,0,6.0,6,2
14,14,14,0,15,540,510,skilled3,3.6430979756923687,-2.36182756859202,1,310,priv_rel,lwage,0,0,0,skilled3,0,0,1,0,9,nonSTEM,245.35581118505576,skilled,2,-1,245.35581118505576,240,2,7,0,2,6,122,5,0,4.0,4,0
15,15,15,1,1,750,650,STEM,284.549823060857,4.480316813782269,0,350,forprofit,grade,0,0,0,STEM,0,0,0,0,0,dropout,0.0,t1,,2,284.549823060857,0,3,6,0,1,0,15,-1,1,,-1,-1
16,16,16,1,2,750,650,hp,0.0,4.480316813782269,0,350,forprofit,hp,0,0,0,hp,0,0,0,0,0,dropout,0.0,t1STEM,,2,284.549823060857,0,3,0,0,0,2,15,-1,1,0.0,0,-1
17,17,17,2,1,650,550,nonSTEM,314.11901854545,-3.23945296942577,1,340,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,312.2797546363625,t1,,-1,314.11901854545,320,2,6,0,1,1,230,-1,0,,-1,-1
18,18,18,2,2,650,550,nonSTEM,330.0,-3.23945296942577,1,340,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,312.2797546363625,t1nonSTEM,,-1,322.059509272725,320,2,1,0,1,1,230,-1,0,1.0,1,-1
19,19,19,2,3,650,550,nonSTEM,320.0,-3.23945296942577,1,340,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,312.2797546363625,STEMReqNotMet,,-1,321.37300618181666,320,2,3,0,1,1,230,-1,0,1.0,1,-1
20,20,20,2,4,650,550,nonSTEM,285.0,-3.23945296942577,1,340,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,312.2797546363625,t3nonSTEM,,-1,312.2797546363625,320,2,5,0,1,1,230,-1,0,1.0,1,-1
21,21,21,2,5,650,550,skilled3,2.620599625317822,-3.23945296942577,1,340,priv_rel,lwage,0,0,0,skilled3,0,0,0,0,0,nonSTEM,312.2797546363625,skilled,2,-1,312.2797546363625,320,2,7,0,2,6,230,19,0,1.0,1,-1
